normalized_name,stack_v2_name,currently_supported
procfile,Procfile,no
proguard,Proguard,no
prolog,Prolog,yes
promela,Promela,no
propeller spin,Propeller Spin,no
protocol buffer,Protocol Buffer,no
protocol buffer text format,Protocol Buffer Text Format,no
public key,Public Key,no
pug,Pug,no
puppet,Puppet,no
pure data,Pure Data,no
purebasic,PureBasic,no
purescript,PureScript,no
python,Python,yes
q,q,no
q#,Q#,no
qmake,QMake,no
qml,QML,no
qt script,Qt Script,no
quake,Quake,no
r,R,yes
racket,Racket,no
ragel,Ragel,no
raku,Raku,yes
raml,RAML,no
rascal,Rascal,no
raw token data,Raw token data,no
rdoc,RDoc,no
readline config,Readline Config,no
realbasic,REALbasic,no
reason,Reason,no
rebol,Rebol,no
red,Red,no
redcode,Redcode,no
redirect rules,Redirect Rules,no
regular expression,Regular Expression,no
ren'py,Ren'Py,no
renderscript,RenderScript,no
rescript,ReScript,no
restructuredtext,reStructuredText,no
rexx,REXX,no
rich text format,Rich Text Format,no
ring,Ring,no
rmarkdown,RMarkdown,no
robotframework,RobotFramework,no
robots.txt,robots.txt,no
roff,Roff,no
roff manpage,Roff Manpage,no
rouge,Rouge,no
rpc,RPC,no
rpgle,RPGLE,no
rpm spec,RPM Spec,no
ruby,Ruby,yes
rust,Rust,yes
sage,Sage,no
saltstack,SaltStack,no
sas,SAS,no
sass,Sass,no
scala,Scala,yes
scheme,Scheme,yes
scilab,Scilab,yes
scss,SCSS,no
sed,sed,no
self,Self,no
selinux policy,SELinux Policy,no
shaderlab,ShaderLab,no
shell,Shell,no
sieve,Sieve,no
singularity,Singularity,no
slash,Slash,no
slice,Slice,no
slim,Slim,no
smali,Smali,no
smalltalk,Smalltalk,no
smarty,Smarty,no
smpl,SmPL,no
smt,SMT,no
solidity,Solidity,no
soong,Soong,no
sourcepawn,SourcePawn,no
sparql,SPARQL,no
spline font database,Spline Font Database,no
sqf,SQF,no
sql,SQL,yes
sqlpl,SQLPL,no
squirrel,Squirrel,no
srecode template,SRecode Template,no
ssh config,SSH Config,no
stan,Stan,no
standard ml,Standard ML,no
star,STAR,no
starlark,Starlark,yes
stata,Stata,no
stl,STL,no
ston,STON,no
stringtemplate,StringTemplate,no
stylus,Stylus,no
subrip text,SubRip Text,no
sugarss,SugarSS,no
supercollider,SuperCollider,no
svelte,Svelte,no
svg,SVG,no
swift,Swift,yes
swig,SWIG,no
systemverilog,SystemVerilog,no
talon,Talon,no
tcl,Tcl,no
tcsh,Tcsh,no
tea,Tea,no
terra,Terra,no
tex,TeX,no
texinfo,Texinfo,no
text,Text,no
textile,Textile,no
textmate properties,TextMate Properties,no
thrift,Thrift,no
tla,TLA,no
toml,TOML,no
tsql,TSQL,no
tsv,TSV,no
tsx,TSX,no
turing,Turing,no
turtle,Turtle,no
twig,Twig,no
txl,TXL,no
type language,Type Language,no
typescript,TypeScript,yes
unified parallel c,Unified Parallel C,no
unity3d asset,Unity3D Asset,no
unix assembly,Unix Assembly,no
uno,Uno,no
unrealscript,UnrealScript,no
urweb,UrWeb,no
v,V,no
vala,Vala,no
valve data format,Valve Data Format,no
vba,VBA,no
vbscript,VBScript,no
vcl,VCL,no
velocity template language,Velocity Template Language,no
verilog,Verilog,no
vhdl,VHDL,no
vim help file,Vim Help File,no
vim script,Vim Script,no
vim snippet,Vim Snippet,no
visual basic .net,Visual Basic .NET,no
volt,Volt,no
vue,Vue,yes
vyper,Vyper,no
wavefront material,Wavefront Material,no
wavefront object,Wavefront Object,no
wdl,wdl,no
web ontology language,Web Ontology Language,no
webassembly,WebAssembly,yes
webidl,WebIDL,no
webvtt,WebVTT,no
whiley,Whiley,no
wikitext,Wikitext,no
win32 message file,Win32 Message File,no
windows registry entries,Windows Registry Entries,no
witcher script,Witcher Script,no
wollok,Wollok,no
world of warcraft addon data,World of Warcraft Addon Data,no
wren,Wren,no
x bitmap,X BitMap,no
x pixmap,X PixMap,no
x10,X10,no
xbase,xBase,no
xc,XC,no
xml,XML,yes
xml property list,XML Property List,no
xojo,Xojo,no
xonsh,Xonsh,no
xpages,XPages,no
xproc,XProc,no
xquery,XQuery,no
xs,XS,no
xslt,XSLT,no
xtend,Xtend,no
yacc,Yacc,no
yaml,YAML,no
yang,YANG,no
yara,YARA,no
yasnippet,YASnippet,no
yul,Yul,no
zeek,Zeek,no
zenscript,ZenScript,no
zephir,Zephir,no
zig,Zig,no
zil,ZIL,no
zimpl,Zimpl,no
